player-name,season,match,batting-runs,balls,out,4s,6s,sr,overs,maiden,bowling-runs,wickets,econ,0s,4s,6s,catches,run-out,stumping
mustafizur-rahman,0,0,0,0,0,0,0,0,3.3,0,37,1,10.57,6,4,2,0,0,0
sanju-samson,2021,24,42,27,1,5,0,155.55,0,0,0,0,0,0,0,0,0,0,0
yashasvi-jaiswal,2021,24,32,20,1,2,2,160.0,0,0,0,0,0,0,0,0,0,0,0
riyan-parag,2021,24,8,7,0,1,0,114.28,0,0,0,0,0,0,0,0,0,0,0
david-miller,2021,24,7,4,0,1,0,175.0,0,0,0,0,0,0,0,0,0,0,0
jos-buttler,2021,24,41,32,1,3,3,128.12,0,0,0,0,0,0,0,0,1,0,0
chris-morris,0,0,0,0,0,0,0,0,4.0,0,33,2,8.25,9,2,2,0,0,0
rahul-tewatia,0,0,0,0,0,0,0,0,3.0,0,30,0,10.0,4,3,1,0,0,0
chetan-sakariya,0,0,0,0,0,0,0,0,3.0,0,18,0,6.0,6,1,0,1,0,0
jayant-yadav,0,0,0,0,0,0,0,0,3.0,0,37,0,12.33,3,1,3,0,0,0
nathan-coulter-nile,0,0,0,0,0,0,0,0,4.0,0,35,0,8.75,8,4,1,0,0,0
hardik-pandya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suryakumar-yadav,2021,24,16,10,1,3,0,160.0,0,0,0,0,0,0,0,0,0,0,0
rahul-chahar,0,0,0,0,0,0,0,0,4.0,0,33,2,8.25,7,2,2,1,0,0
jasprit-bumrah,0,0,0,0,0,0,0,0,4.0,0,15,1,3.75,12,1,0,1,0,0
krunal-pandya,2021,24,39,26,1,2,2,150.0,1.0,0,12,0,12.0,0,2,0,0,0,0
trent-boult,0,0,0,0,0,0,0,0,4.0,0,37,1,9.25,7,4,1,0,0,0
quinton-de-kock,2021,24,70,50,0,6,2,140.0,0,0,0,0,0,0,0,0,0,0,0
kieron-pollard,2021,24,16,8,0,2,1,200.0,0,0,0,0,0,0,0,0,0,0,0
rohit-sharma,2021,24,14,17,1,0,1,82.35,0,0,0,0,0,0,0,0,0,0,0
siddarth-kaul,0,0,0,0,0,0,0,0,4.0,0,32,0,8.0,8,4,0,0,0,0
jagadeesha-suchith,0,0,0,0,0,0,0,0,3.0,0,45,0,15.0,2,7,1,0,0,0
manish-pandey,2021,23,61,46,1,5,1,132.6,0,0,0,0,0,0,0,0,0,0,0
david-warner,2021,23,57,55,1,3,2,103.63,0,0,0,0,0,0,0,0,0,0,0
kedar-jadhav,2021,23,12,4,0,1,1,300.0,0,0,0,0,0,0,0,0,1,0,0
rashid-khan,0,0,0,0,0,0,0,0,4.0,0,36,3,9.0,7,6,0,0,0,0
sandeep-sharma,0,0,0,0,0,0,0,0,3.3,0,24,0,6.85,8,3,0,0,0,0
jonny-bairstow,2021,23,7,5,1,1,0,140.0,0,0,0,0,0,0,0,0,0,0,0
khaleel-ahmed,0,0,0,0,0,0,0,0,4.0,0,36,0,9.0,7,5,0,0,0,0
vijay-shankar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kane-williamson,2021,23,26,10,0,4,1,260.0,0,0,0,0,0,0,0,0,0,0,0
shardul-thakur,0,0,0,0,0,0,0,0,4.0,0,44,0,11.0,4,5,1,0,0,0
ambati-rayudu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ms-dhoni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lungi-ngidi,0,0,0,0,0,0,0,0,4.0,0,35,2,8.75,7,3,1,0,0,0
deepak-chahar,0,0,0,0,0,0,0,0,3.0,0,21,0,7.0,7,3,0,1,0,0
moeen-ali,2021,23,15,8,1,3,0,187.5,2.0,0,16,0,8.0,3,0,1,0,0,0
faf-du-plessis,2021,23,56,38,1,6,1,147.36,0,0,0,0,0,0,0,0,1,0,0
ruturaj-gaikwad,2021,23,75,44,1,12,0,170.45,0,0,0,0,0,0,0,0,0,0,0
sam-curran,0,0,0,0,0,0,0,0,4.0,0,30,1,7.5,9,2,1,0,0,0
suresh-raina,2021,23,17,15,0,3,0,113.33,0,0,0,0,0,0,0,0,0,0,0
ravindra-jadeja,2021,23,7,6,0,1,0,116.66,3.0,0,23,0,7.66,6,1,1,1,0,0
devdutt-padikkal,2021,22,17,14,1,3,0,121.42,0,0,0,0,0,0,0,0,0,0,0
yuzvendra-chahal,0,0,0,0,0,0,0,0,2.0,0,10,0,5.0,5,1,0,1,0,0
daniel-sams,2021,22,3,2,0,0,0,150.0,2.0,0,15,0,7.5,4,2,0,0,0,0
glenn-maxwell,2021,22,25,20,1,1,2,125.0,0,0,0,0,0,0,0,0,0,0,0
virat-kohli,2021,22,12,11,1,2,0,109.09,0,0,0,0,0,0,0,0,0,0,0
mohammed-siraj,0,0,0,0,0,0,0,0,4.0,0,44,1,11.0,5,6,1,0,0,0
ab-de-villiers,2021,22,75,42,0,3,5,178.57,0,0,0,0,0,0,0,0,3,0,0
harshal-patel,0,0,0,0,0,0,0,0,4.0,0,37,2,9.25,5,4,0,0,0,0
kyle-jamieson,0,0,0,0,0,0,0,0,4.0,0,32,1,8.0,11,1,3,0,0,0
rajat-patidar,2021,22,31,22,1,0,2,140.9,0,0,0,0,0,0,0,0,0,0,0
washington-sundar,2021,22,6,9,1,0,0,66.66,4.0,0,28,0,7.0,5,2,0,0,0,0
prithvi-shaw,2021,22,21,18,1,3,0,116.66,0,0,0,0,0,0,0,0,0,0,0
kagiso-rabada,0,0,0,0,0,0,0,0,4.0,0,38,1,9.5,6,4,1,1,0,0
avesh-khan,0,0,0,0,0,0,0,0,4.0,0,24,1,6.0,11,3,0,0,0,0
shikhar-dhawan,2021,22,6,7,1,1,0,85.71,0,0,0,0,0,0,0,0,0,0,0
steven-smith,2021,22,4,5,1,1,0,80.0,0,0,0,0,0,0,0,0,2,0,0
amit-mishra,0,0,0,0,0,0,0,0,3.0,0,27,1,9.0,2,0,2,0,0,0
ishant-sharma,0,0,0,0,0,0,0,0,4.0,1,26,1,6.5,11,2,1,0,0,0
shimron-hetmyer,2021,22,53,25,0,2,4,212.0,0,0,0,0,0,0,0,0,0,0,0
rishabh-pant,2021,22,58,48,0,6,0,120.83,0,0,0,0,0,0,0,0,0,0,0
axar-patel,0,0,0,0,0,0,0,0,4.0,0,33,1,8.25,5,0,2,0,0,0
marcus-stoinis,2021,22,22,17,1,3,0,129.41,1.0,0,23,0,23.0,1,0,3,0,0,0
ravi-bishnoi,2021,21,1,4,1,0,0,25.0,4.0,0,19,0,4.75,9,1,0,1,0,0
nicholas-pooran,2021,21,19,19,1,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0
arshdeep-singh,2021,21,1,1,0,0,0,100.0,2.4,0,27,1,10.12,5,5,0,0,1,0
chris-jordan,2021,21,30,18,1,1,3,166.66,3.0,0,24,0,8.0,8,4,0,0,0,0
mohammed-shami,2021,21,1,2,0,0,0,50.0,4.0,0,25,1,6.25,17,4,1,0,0,0
chris-gayle,2021,21,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
mayank-agarwal,2021,21,31,34,1,1,2,91.17,0,0,0,0,0,0,0,0,0,0,0
moises-henriques,2021,21,2,3,1,0,0,66.66,1.0,0,5,1,5.0,4,1,0,0,0,0
shahrukh-khan,2021,21,13,14,1,0,1,92.85,0,0,0,0,0,0,0,0,2,0,0
kl-rahul,2021,21,19,20,1,2,1,95.0,0,0,0,0,0,0,0,0,0,0,1
deepak-hooda,2021,21,1,4,1,0,0,25.0,2.0,0,20,1,10.0,3,2,1,0,0,0
prasidh-krishna,0,0,0,0,0,0,0,0,4.0,0,30,3,7.5,12,0,3,0,0,0
pat-cummins,0,0,0,0,0,0,0,0,3.0,0,31,2,10.33,9,2,3,0,0,0
andre-russell,2021,21,10,9,1,2,0,111.11,1.0,0,2,0,2.0,4,0,0,0,0,0
rahul-tripathi,2021,21,41,32,1,7,0,128.12,0,0,0,0,0,0,0,0,1,0,0
dinesh-karthik,2021,21,12,6,0,2,0,200.0,0,0,0,0,0,0,0,0,1,0,0
eoin-morgan,2021,21,47,40,0,4,2,117.5,0,0,0,0,0,0,0,0,3,0,0
varun-chakravarthy,0,0,0,0,0,0,0,0,4.0,0,24,1,6.0,10,1,1,0,0,0
sunil-narine,2021,21,0,4,1,0,0,0.0,4.0,0,22,2,5.5,10,1,1,1,0,0
shivam-mavi,0,0,0,0,0,0,0,0,4.0,0,13,1,3.25,15,1,0,0,0,0
nitish-rana,2021,21,0,1,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
shubman-gill,2021,21,9,8,1,2,0,112.5,0,0,0,0,0,0,0,0,0,0,0
prithvi-shaw,2021,20,53,39,1,7,1,135.89,0,0,0,0,0,0,0,0,0,0,0
