,points
84,-2
731,3
2757,62
4417,47
1156,50
893,63
3558,79
2296,6
98,21
2718,33
4560,2
4600,-6
3414,40
519,27
4060,60
725,45
3932,65
1147,42
459,72
3440,63
4697,7
1557,19
3169,1
2242,70
3246,-6
2702,35
4814,-6
4123,25
3770,19
2130,28
54,104
4125,17
3656,101
3694,94
2873,6
791,87
2079,0
1139,28
1929,6
4086,68
1793,-2
1414,109
4590,7
3215,29
3027,3
4022,38
1731,0
747,27
4793,93
1780,58
3271,15
4790,4
1840,58
3910,4
258,33
2121,80
1238,29
3755,25
2726,15
1041,15
3735,21
3253,-4
2611,0
943,57
2133,50
2644,41
144,16
834,20
2281,45
4289,140
4930,0
2887,23
1843,122
4626,-6
3611,1
2389,-2
4529,45
1037,56
2837,90
2629,97
580,0
4257,21
174,25
4686,15
2668,68
824,39
2278,12
4097,18
435,33
801,35
394,56
674,0
1688,-2
4419,31
1086,1
4605,86
771,84
1923,14
563,4
3046,29
95,52
2273,5
4068,4
2450,110
1630,18
4020,65
3008,51
1527,8
2316,-2
994,52
1123,76
499,0
3869,62
2870,8
2319,53
3019,-6
1448,53
1992,43
924,26
3204,4
1732,55
875,62
1965,73
446,31
526,64
3406,0
1171,45
107,0
4895,2
2479,38
1155,27
39,36
399,19
3797,53
99,113
3889,41
1452,22
3114,57
2491,27
851,106
216,10
1595,0
3662,32
4244,71
4908,-1
3810,37
727,4
173,33
881,-4
1966,8
151,20
3407,57
4955,32
944,9
2014,95
2950,22
3345,25
543,47
189,22
3208,2
2107,33
1151,54
4508,85
1092,43
1945,31
105,25
2754,50
3927,104
1943,0
2051,77
4134,0
1632,17
2742,6
385,28
1878,56
1819,69
1893,36
4191,88
2244,52
981,61
4705,87
1663,2
498,14
15,8
2214,59
3262,67
2556,9
1309,38
3158,33
461,4
4880,1
4182,6
4345,-4
1080,37
4438,58
2854,9
793,0
3979,47
4666,19
4481,30
443,32
1223,13
2007,13
2880,23
3359,115
3067,56
4501,64
4114,54
3429,68
1126,46
2239,54
787,13
1997,1
160,130
4833,-2
3124,48
2825,69
3692,58
1865,0
2037,75
2508,18
4043,9
3775,13
4108,28
1059,106
3653,31
2448,113
2194,45
3322,0
1908,23
968,0
2865,116
1133,31
3711,0
4884,0
4842,10
1157,44
1179,44
625,54
1746,11
2545,44
2271,7
682,1
3912,6
1266,10
4887,68
2589,25
792,0
594,52
4264,39
3906,72
1136,4
3749,47
44,27
4038,40
3873,54
3496,3
2419,27
772,141
1687,25
3781,2
914,117
4283,12
4001,22
2,4
3807,58
3404,4
274,8
432,2
3941,99
4059,60
2046,0
2311,37
1308,116
1530,16
3943,89
1118,42
1847,31
2205,79
4238,61
406,80
3614,6
1677,89
263,35
1214,41
4209,21
2218,2
3984,51
3193,58
3379,33
431,10
1198,0
2087,79
4492,95
3372,97
1301,17
4098,105
1983,-6
320,11
176,30
3252,2
4755,46
3041,68
2399,37
2428,62
2468,131
4107,25
362,45
71,5
3975,25
2947,37
2321,56
3825,2
3394,60
1948,11
3476,72
713,79
2361,7
4859,48
354,59
66,8
3130,2
842,0
4539,63
2486,87
252,47
1599,36
3624,14
90,19
1322,8
538,1
3170,56
3485,16
3700,53
1469,60
4583,5
3789,27
861,19
4912,17
2770,27
869,41
716,19
1817,76
1307,39
2404,99
2641,50
