season,match,status,toss-team,toss-decision,venue
2019,7,result,royal-challengers-bangalore,bowl,"M Chinnaswamy Stadium, Bangalore"
2019,6,result,kings-xi-punjab,bowl,"Eden Gardens, Kolkata"
2019,5,result,delhi-capitals,bat,"Feroz Shah Kotla, Delhi"
2019,4,result,rajasthan-royals,bowl,"Sawai Mansingh Stadium, Jaipur"
2019,3,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2019,2,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2019,1,result,chennai-super-kings,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2018,60,result,chennai-super-kings,bowl,"Wankhede Stadium, Mumbai"
2018,59,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2018,58,result,rajasthan-royals,bowl,"Eden Gardens, Kolkata"
2018,57,result,chennai-super-kings,bowl,"Wankhede Stadium, Mumbai"
2018,56,result,chennai-super-kings,bowl,"Maharashtra Cricket Association Stadium, Pune"
2018,55,result,delhi-daredevils,bat,"Feroz Shah Kotla, Delhi"
2018,54,result,sunrisers-hyderabad,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2018,53,result,rajasthan-royals,bat,"Sawai Mansingh Stadium, Jaipur"
2018,52,result,chennai-super-kings,bowl,"Feroz Shah Kotla, Delhi"
2018,51,result,sunrisers-hyderabad,bowl,"M Chinnaswamy Stadium, Bengaluru"
2018,50,result,kings-xi-punjab,bowl,"Wankhede Stadium, Mumbai"
2018,49,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2018,48,result,royal-challengers-bangalore,bowl,"Holkar Cricket Stadium, Indore"
2018,47,result,rajasthan-royals,bowl,"Wankhede Stadium, Mumbai"
2018,46,result,chennai-super-kings,bowl,"Maharashtra Cricket Association Stadium, Pune"
2018,45,result,royal-challengers-bangalore,bowl,"Feroz Shah Kotla, Delhi"
2018,44,result,kings-xi-punjab,bowl,"Holkar Cricket Stadium, Indore"
2018,43,result,chennai-super-kings,bat,"Sawai Mansingh Stadium, Jaipur"
2018,42,result,delhi-daredevils,bat,"Feroz Shah Kotla, Delhi"
2018,41,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2018,40,result,rajasthan-royals,bat,"Sawai Mansingh Stadium, Jaipur"
2018,39,result,royal-challengers-bangalore,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2018,38,result,kings-xi-punjab,bowl,"Holkar Cricket Stadium, Indore"
2018,37,result,kolkata-knight-riders,bowl,"Wankhede Stadium, Mumbai"
2018,36,result,delhi-daredevils,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2018,35,result,chennai-super-kings,bowl,"Maharashtra Cricket Association Stadium, Pune"
2018,34,result,mumbai-indians,bowl,"Holkar Cricket Stadium, Indore"
2018,33,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2018,32,result,rajasthan-royals,bowl,"Feroz Shah Kotla, Delhi"
2018,31,result,mumbai-indians,bowl,"M Chinnaswamy Stadium, Bengaluru"
2018,30,result,delhi-daredevils,bowl,"Maharashtra Cricket Association Stadium, Pune"
2018,29,result,kolkata-knight-riders,bowl,"M Chinnaswamy Stadium, Bengaluru"
2018,28,result,sunrisers-hyderabad,bat,"Sawai Mansingh Stadium, Jaipur"
2018,27,result,mumbai-indians,bowl,"Maharashtra Cricket Association Stadium, Pune"
2018,26,result,kolkata-knight-riders,bowl,"Feroz Shah Kotla, Delhi"
2018,25,result,kings-xi-punjab,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2018,24,result,chennai-super-kings,bowl,"M Chinnaswamy Stadium, Bengaluru"
2018,23,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2018,22,result,delhi-daredevils,bowl,"Feroz Shah Kotla, Delhi"
2018,21,result,mumbai-indians,bat,"Sawai Mansingh Stadium, Jaipur"
2018,20,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2018,19,result,royal-challengers-bangalore,bowl,"M Chinnaswamy Stadium, Bengaluru"
2018,18,result,kings-xi-punjab,bowl,"Eden Gardens, Kolkata"
2018,17,result,rajasthan-royals,bowl,"Maharashtra Cricket Association Stadium, Pune"
2018,16,result,kings-xi-punjab,bat,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2018,15,result,kolkata-knight-riders,bowl,"Sawai Mansingh Stadium, Jaipur"
2018,14,result,royal-challengers-bangalore,bowl,"Wankhede Stadium, Mumbai"
2018,13,result,delhi-daredevils,bowl,"Eden Gardens, Kolkata"
2018,12,result,chennai-super-kings,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2018,11,result,royal-challengers-bangalore,bowl,"M Chinnaswamy Stadium, Bengaluru"
2018,10,result,sunrisers-hyderabad,bowl,"Eden Gardens, Kolkata"
2018,9,result,delhi-daredevils,bowl,"Wankhede Stadium, Mumbai"
2018,8,result,royal-challengers-bangalore,bowl,"M Chinnaswamy Stadium, Bengaluru"
2018,7,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2018,6,result,delhi-daredevils,bowl,"Sawai Mansingh Stadium, Jaipur"
2018,5,result,chennai-super-kings,bowl,"MA Chidambaram Stadium, Chepauk, Chennai"
2018,4,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2018,3,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2018,2,result,kings-xi-punjab,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2018,1,result,chennai-super-kings,bowl,"Wankhede Stadium, Mumbai"
2017,60,result,mumbai-indians,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2017,59,result,mumbai-indians,bowl,"M Chinnaswamy Stadium, Bangalore"
2017,58,result,kolkata-knight-riders,bowl,"M Chinnaswamy Stadium, Bangalore"
2017,57,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2017,56,result,royal-challengers-bangalore,bat,"Feroz Shah Kotla, Delhi"
2017,55,result,rising-pune-supergiant,bowl,"Maharashtra Cricket Association Stadium, Pune"
2017,54,result,kolkata-knight-riders,bowl,"Eden Gardens, Kolkata"
2017,53,result,sunrisers-hyderabad,bowl,"Green Park, Kanpur"
2017,52,result,delhi-daredevils,bat,"Feroz Shah Kotla, Delhi"
2017,51,result,mumbai-indians,bowl,"Wankhede Stadium, Mumbai"
2017,50,result,delhi-daredevils,bowl,"Green Park, Kanpur"
2017,49,result,kolkata-knight-riders,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2017,48,result,mumbai-indians,bat,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2017,47,result,gujarat-lions,bowl,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh"
2017,46,result,kolkata-knight-riders,bowl,"M Chinnaswamy Stadium, Bangalore"
2017,45,result,delhi-daredevils,bowl,"Feroz Shah Kotla, Delhi"
2017,44,result,sunrisers-hyderabad,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2017,43,result,royal-challengers-bangalore,bowl,"M Chinnaswamy Stadium, Bangalore"
2017,42,result,delhi-daredevils,bowl,"Feroz Shah Kotla, Delhi"
2017,41,result,rising-pune-supergiant,bowl,"Eden Gardens, Kolkata"
2017,40,result,delhi-daredevils,bowl,"Feroz Shah Kotla, Delhi"
2017,39,result,rising-pune-supergiant,bowl,"Maharashtra Cricket Association Stadium, Pune"
2017,38,result,royal-challengers-bangalore,bat,"Wankhede Stadium, Mumbai"
2017,37,result,kolkata-knight-riders,bowl,"Rajiv Gandhi International Stadium, Uppal, Hyderabad"
2017,36,result,,bowl,
2017,35,result,gujarat-lions,bat,"Saurashtra Cricket Association Stadium, Rajkot"
