,points
3537,40
2629,97
116,62
212,4
1041,15
230,17
2901,25
4469,31
4392,26
1525,6
3299,40
4671,36
3671,50
1364,5
3240,23
424,0
3479,18
3928,41
2809,131
4227,14
4772,5
4760,0
4059,60
1610,15
4702,0
3051,66
1155,27
3085,75
4291,0
2338,12
1082,6
730,0
205,68
4478,3
398,64
3516,33
1888,23
1702,0
647,19
4422,58
1938,5
1416,63
4854,8
1280,47
123,16
242,35
891,22
789,37
760,91
1227,70
2528,48
805,95
644,94
2074,56
326,27
3686,104
729,59
129,0
4534,109
4171,25
1585,13
3842,98
1476,12
120,8
2491,27
1644,9
607,139
2893,9
4734,10
1480,14
3512,65
4410,22
4150,46
2976,2
4096,16
2145,25
1931,47
4193,5
4732,-4
833,-2
3383,29
1398,39
4796,75
759,70
3177,15
4264,39
3048,14
3445,56
4287,-2
1795,114
870,134
1856,14
1160,38
3426,0
43,21
2997,13
3010,54
4770,-2
3011,69
2511,8
1269,49
3221,0
3545,25
1594,39
63,52
366,0
4336,56
4820,1
4197,83
2119,184
211,10
2606,14
3553,8
252,47
3888,3
955,48
251,-2
691,-2
2574,2
877,58
503,2
3564,54
3872,54
4908,-1
4201,46
3102,7
1628,9
1979,70
2648,27
4008,54
847,113
1709,11
1108,16
2692,5
1183,39
2095,30
2741,0
3073,50
371,33
2315,37
2515,58
3372,97
433,25
4729,59
4147,58
1716,25
4025,43
3417,-6
1251,36
1509,-2
127,-6
2450,110
2547,27
1632,17
2225,58
1817,76
3301,84
342,29
4426,60
1430,56
84,-2
4386,28
1279,49
2113,34
4787,6
3343,34
1395,39
4121,0
270,4
2889,21
4155,60
4014,8
1618,31
4945,33
2517,25
4706,70
3839,33
1936,91
273,1
4066,5
1256,0
2946,29
4203,3
3688,-2
773,48
1017,0
928,19
705,6
3246,-6
2669,-6
3529,-6
828,41
4209,21
938,1
2188,24
1011,68
4655,118
3046,29
54,104
1431,2
3044,80
47,13
3587,62
2409,145
4852,31
848,25
3050,70
923,20
3920,67
4754,61
4730,7
1149,46
301,16
1952,51
4156,1
9,16
1575,-6
3973,23
2009,21
1076,95
988,58
3775,13
4736,29
1510,0
4288,25
2055,3
4549,89
4309,3
822,27
2824,68
886,84
3603,56
2473,0
4390,60
246,11
161,30
735,60
1624,1
4564,66
4144,31
1185,-4
2351,84
592,87
2384,53
3747,0
3016,-6
662,100
1445,1
4024,60
2131,25
1494,66
3135,17
3120,8
3424,55
2701,6
4295,91
4555,19
4163,28
4765,43
2956,112
1580,5
2456,77
245,11
3807,58
3694,94
3375,30
1786,-4
1403,0
4649,46
4333,58
4199,72
916,25
706,57
2126,22
757,0
1941,64
540,75
4799,33
112,46
1075,13
3394,60
1560,40
1825,-2
2991,30
1113,14
1779,96
3852,78
2431,37
4315,51
285,85
1316,9
2349,117
717,6
3268,21
3629,13
3292,25
4284,82
1277,27
1801,123
3281,27
2238,46
294,61
3275,0
3168,97
2887,23
863,68
2419,27
4246,30
3191,14
1734,85
181,36
4590,7
2919,50
2519,18
3864,40
3901,49
3142,51
3173,85
1106,52
3472,39
3440,63
959,90
1552,25
3559,19
2332,46
482,98
210,33
2743,53
945,0
3355,17
480,29
1635,62
710,2
3509,27
2698,19
1379,16
3597,66
1310,0
4270,8
4080,61
1999,28
2163,35
2057,114
3267,39
2167,49
4208,25
4136,115
552,27
4088,16
4584,-2
3757,58
2313,20
2895,66
3186,26
1597,10
306,25
328,16
3931,13
2614,9
2548,42
626,81
3121,73
975,14
4013,56
323,102
2970,92
473,8
3798,-2
1472,37
139,0
175,21
4725,50
4750,84
3387,20
2438,3
1128,25
4321,6
2646,51
2602,98
3079,25
4822,57
4593,25
4273,53
1661,11
4379,25
3720,6
4378,23
1002,12
1224,15
2845,0
4882,19
3100,34
4357,2
3298,50
4573,50
4031,33
1421,91
4417,47
2174,25
2827,60
3777,5
943,57
521,25
606,66
2161,66
1211,25
2050,12
4113,9
3925,20
862,57
2324,6
2771,-2
786,52
229,49
4777,0
41,42
600,56
1513,50
1029,7
2935,53
126,66
4685,6
3506,50
2378,0
1802,-2
2786,91
1554,17
3040,2
467,29
4926,25
3991,46
302,8
1454,107
3045,58
2539,25
2212,35
3845,82
2146,34
4518,61
1351,18
1955,57
2966,0
3863,66
1147,42
3986,18
2504,88
2769,1
912,32
239,33
1357,56
3431,12
796,10
3047,6
1598,79
3992,0
1996,27
3052,58
1671,80
3209,1
1897,45
4154,-2
1872,16
1474,120
3072,14
845,35
1248,55
4707,35
3029,66
879,3
1737,12
2476,38
3819,27
2052,88
4600,-6
4206,58
1187,76
2724,27
3302,14
4565,2
922,56
4825,29
4322,50
224,53
362,45
2658,-2
4446,70
4258,5
3237,4
3592,2
2486,87
2393,75
2735,87
30,25
4189,8
2764,10
4637,33
4809,29
3700,53
834,20
3635,68
2204,30
1391,-6
3249,5
2642,44
3408,56
2791,3
3616,13
2876,25
2963,2
803,0
2587,2
4496,6
979,37
170,72
712,44
1992,43
3391,37
721,54
1500,28
4696,34
3511,48
1,137
4667,6
151,20
1034,19
4353,26
1842,57
739,0
4612,-1
2908,29
4294,85
4776,59
4340,25
1314,1
379,51
4654,53
4873,36
4586,66
2650,4
776,99
1778,47
1107,9
1189,3
3718,49
2251,31
1966,8
2875,9
3846,37
1744,27
4639,50
3467,0
2266,125
3364,102
4070,7
4763,16
3317,-4
1893,36
1088,51
966,78
2722,20
83,46
4519,67
4090,37
1699,15
2213,26
4363,75
97,-2
75,25
4694,54
314,132
2037,75
1666,42
1304,52
2733,34
4138,29
3034,60
1816,71
4703,89
1545,43
688,6
4738,60
1572,30
2934,8
4819,38
4191,88
4039,21
2196,13
2685,73
3254,31
4886,0
1493,21
3762,31
2838,89
4281,25
1656,23
2193,72
3003,2
3668,28
1399,36
1000,26
4443,-1
2016,19
249,8
1751,25
1683,15
3113,0
4959,17
3241,107
4580,18
942,6
3084,14
4328,0
1652,1
3515,156
3709,36
1274,23
4233,33
1974,1
1260,72
4686,15
1641,26
3520,23
4069,34
4878,13
445,85
4808,104
1417,94
2156,15
4599,26
4530,72
1418,-2
1651,3
3474,39
1065,81
4179,55
3338,32
4550,29
1281,41
1255,8
3488,35
2223,108
537,6
4889,39
2591,19
4798,0
4377,42
2931,39
4821,41
1097,25
2961,0
883,115
2819,47
925,-2
2621,33
1020,92
826,62
2154,8
73,6
2152,4
827,18
1645,97
4583,5
3223,83
2641,50
995,81
4576,73
1428,68
2987,20
2467,18
55,-8
2656,18
0,14
1707,4
4811,0
3179,75
3895,13
4097,18
4280,27
823,25
549,13
2856,52
2806,125
3475,24
183,-2
82,11
1425,38
148,0
4585,18
2964,0
438,34
3272,105
3287,3
3154,1
3396,18
2290,8
609,0
3137,20
1356,65
2392,60
754,-2
89,26
2772,-2
4177,51
3599,0
3955,47
281,54
4880,1
2184,91
4005,3
2468,131
2720,16
3793,72
4272,50
4429,-5
319,-6
2211,20
1981,19
4061,17
4334,23
2779,54
3199,8
763,0
4228,29
1331,36
1590,41
1633,52
414,25
977,2
1150,8
733,3
110,0
3725,-6
2407,4
4302,50
2821,0
3494,69
2730,47
2800,20
1079,125
1353,32
777,51
2437,82
1267,39
3206,25
108,32
2795,-3
3883,23
657,79
3711,0
452,2
974,21
3443,101
1025,12
4124,-2
2742,6
3043,33
1093,117
4596,52
2006,74
523,81
3782,54
4003,-2
497,29
2531,66
769,-2
498,14
628,4
2416,8
3075,83
4382,58
4290,2
508,9
2227,8
3119,44
4595,29
4680,34
1839,37
390,72
1870,64
3324,14
3703,10
3631,42
1012,42
1461,-4
471,12
4462,3
3789,27
2896,25
555,-2
3192,12
3415,31
4127,37
14,35
1346,58
1754,2
2899,51
2999,62
321,56
1755,38
2175,21
2509,132
2371,15
4848,33
802,37
2649,68
1387,2
4785,29
4769,27
2183,82
3502,26
3721,4
4054,26
1056,27
4815,67
4560,2
4053,31
1912,84
2623,-2
2521,35
4684,61
3764,58
3004,39
3808,31
875,62
2482,41
4162,54
4869,43
1741,37
4078,4
337,-2
4480,4
1380,19
2983,97
3357,6
1874,18
132,95
4342,41
1032,12
3057,2
2084,30
4653,0
3784,21
3899,101
3763,2
386,37
3463,49
479,37
3964,59
4942,-2
3707,16
2555,4
2948,25
4314,24
1556,95
3755,25
2924,36
4108,28
3166,38
1532,47
2205,79
3042,64
2700,91
4404,45
4800,0
4120,73
702,64
4463,34
3259,141
3954,39
3961,51
3095,14
2910,84
1153,16
680,34
2582,21
2958,48
3719,9
1219,54
1244,14
1518,50
4940,15
1420,23
2068,13
747,27
2474,83
4688,33
1582,97
807,62
4354,46
192,31
1658,58
4907,25
1245,-6
2406,9
3921,16
2144,43
1962,50
2441,20
2207,39
4877,75
3552,0
2666,6
135,-6
4828,56
3885,65
1013,23
4791,6
3806,44
4292,103
1918,30
3486,69
216,10
4332,156
544,157
87,36
4638,90
3800,76
3701,108
3646,123
561,-4
2601,6
4676,97
1308,116
4028,15
1787,72
3673,60
4101,20
4949,52
2949,47
3821,50
4794,12
531,17
3749,47
4716,30
3557,19
3344,10
4359,25
2706,39
29,62
1877,39
3530,1
2847,53
4802,36
1045,20
1539,40
2107,33
308,0
2617,50
4788,81
1687,25
2356,4
144,16
3468,38
3014,171
1465,40
4448,136
3979,47
3293,112
595,33
1349,6
64,-4
1144,53
1195,64
3664,63
2323,37
605,101
1159,29
2108,2
2013,7
4608,32
2272,32
4213,36
2148,13
2981,0
4827,17
3393,89
1708,13
2286,94
2010,28
2561,13
2317,22
3874,39
2011,101
4663,110
2558,56
4605,86
4755,46
640,18
4830,93
134,0
956,54
4922,-6
518,17
930,9
2812,25
1926,17
3733,25
461,4
4289,140
4764,38
3080,6
1151,54
4188,66
4186,124
1123,76
948,74
3896,22
36,20
451,28
1037,56
1222,-6
1608,21
4303,28
4019,0
1126,46
1168,29
1729,87
3527,89
3144,62
3054,4
897,50
1728,45
1031,10
2168,23
1862,35
4623,-2
665,58
78,30
2667,15
1714,45
1649,2
3037,72
1432,81
1095,16
4944,25
2534,7
4630,20
3978,38
3409,-4
4782,8
2460,25
3952,46
1180,47
2400,62
4229,52
3482,25
2972,51
1459,52
1507,43
804,86
3122,50
2181,19
861,19
3131,72
1303,82
1928,66
658,1
3569,59
4934,36
1046,1
91,-2
4954,58
3858,49
3290,131
493,68
698,28
3588,55
4262,80
3436,1
4231,19
1723,10
682,1
2916,25
1770,62
1484,54
3020,40
1549,90
350,0
1070,99
1352,70
656,64
2447,24
2166,89
3705,21
1238,29
4339,-2
4344,4
889,50
4365,33
3304,23
3256,33
1725,33
1772,-2
1865,0
174,25
4484,7
4015,65
4941,103
2816,57
2804,19
2244,52
2655,90
3598,74
2336,47
2557,22
1573,17
4308,25
4460,-2
4442,29
4916,72
3103,65
4297,11
2364,21
2333,103
324,92
1563,27
2663,8
944,9
582,76
3128,101
4714,3
2489,55
4192,82
2404,99
2049,34
2815,25
633,1
2784,136
2562,69
4134,0
1101,146
2391,44
4459,35
573,18
3546,-2
1489,62
4721,49
1385,58
3585,3
3160,4
2000,50
2711,37
1534,56
415,31
3414,40
2343,1
4641,0
1313,33
1254,62
3914,62
188,-2
4892,15
4089,68
160,130
3724,16
2076,12
4646,25
2866,100
2776,88
649,28
2459,26
2228,25
348,6
2640,37
3825,2
2368,1
3380,8
1813,74
1053,0
1851,15
2925,41
2029,25
2977,10
711,76
4867,-6
3735,21
1623,6
2635,74
1713,0
3997,52
2716,27
3480,7
2615,28
635,53
3157,23
3433,38
3395,33
4958,48
1727,0
4557,56
1339,2
3693,33
2765,99
1841,130
3169,1
387,49
4567,101
1138,25
4546,16
1620,31
947,0
4766,9
4269,29
3362,120
3555,55
4148,83
920,108
1283,45
787,13
1601,25
4000,15
888,100
3578,8
4806,0
3366,18
1775,17
1803,91
2835,25
864,16
2994,14
1475,52
1530,16
1985,102
1080,37
278,8
3404,4
1881,60
3308,56
392,33
231,60
142,38
4042,13
4544,22
4312,161
785,28
3226,109
3245,30
2176,2
708,2
4420,52
2142,30
2651,10
1735,62
1136,4
2410,-6
2118,0
585,25
1375,0
4169,33
2763,68
3681,12
3228,21
2884,96
1583,4
3064,30
513,88
4394,42
704,71
4421,33
2777,9
3365,36
1947,5
1978,-2
469,63
684,3
4816,103
3434,11
3678,1
4324,8
1528,35
4307,-2
2604,0
3326,0
2316,-2
3574,90
574,115
4871,2
2647,16
734,42
4832,37
2907,29
2216,43
81,33
284,14
1768,7
4437,18
3508,4
632,86
4130,8
3406,0
1188,0
2982,99
69,33
2953,0
671,31
143,-2
4897,45
3620,2
554,19
3575,8
931,-3
4473,95
261,26
3039,28
1294,6
2854,9
4037,33
1104,43
1718,52
3911,-2
3982,10
501,11
692,108
2136,50
1993,26
1968,0
2618,60
2510,49
34,35
3563,26
3830,17
3454,33
3669,38
3435,12
952,23
3713,87
1131,39
1026,29
3263,25
980,47
263,35
3609,31
2585,45
965,47
4237,5
2249,25
872,44
3327,107
2575,46
3487,2
4368,42
1753,28
3379,33
3096,47
2294,37
3320,52
2428,62
2003,33
3163,116
1871,93
895,58
2120,8
3765,22
799,27
1946,25
4693,53
2909,40
3062,92
2426,150
3878,0
1924,58
842,0
164,50
1266,10
2180,6
809,36
1193,72
3659,29
3812,8
932,6
2871,24
4532,49
2852,52
1648,72
4026,111
3078,47
1834,3
3180,85
1950,4
2413,44
1374,41
856,-4
1205,55
529,10
2254,48
2044,58
3579,29
222,215
2497,1
4746,26
4587,31
2319,53
4149,-2
4052,65
1328,25
1282,1
3630,28
2382,3
4085,77
162,14
3345,25
907,30
2808,23
3909,28
4543,66
4335,21
3247,25
3181,43
4092,27
1478,-2
282,8
3322,0
3038,3
3610,6
2341,128
1670,13
444,62
2465,7
1548,-1
4226,35
1309,38
2512,68
4143,3
1791,25
3466,35
1344,60
2849,0
855,2
3349,18
1596,39
1320,4
369,36
1715,25
2665,83
1492,35
723,112
2911,54
1930,33
4719,62
1467,37
3427,0
1477,-2
4098,105
813,60
4036,10
2973,55
2375,29
3307,17
2891,30
329,9
2060,0
3880,46
1397,27
4735,79
654,35
4232,47
1647,36
3513,19
2594,6
4578,62
4173,0
396,25
1922,91
3827,27
581,18
2710,115
1463,60
2974,9
4615,94
836,23
378,20
4731,55
3876,17
510,0
4046,70
2140,19
2365,62
2381,88
4624,-4
4455,36
1462,4
919,64
243,25
296,-2
4300,25
578,25
894,108
1057,142
4554,101
1566,66
1629,8
2202,50
430,26
1784,46
196,87
3115,80
4572,76
1536,51
4238,61
2458,-1
1542,52
2395,35
4395,95
547,27
1574,58
267,1
4234,35
1793,-2
2670,35
1622,30
1061,4
2056,33
2359,74
2067,40
2230,8
1520,4
3018,3
4457,49
516,17
2453,29
3505,1
4598,2
12,12
2886,-4
2756,13
4407,60
1602,69
1733,38
4431,91
3796,8
2115,27
1991,1
368,16
3384,68
3105,8
4515,56
1059,106
4224,50
741,95
